合同ID(_id),活动城市(province),工单编号(serviceAppointmentNum),Status,管家(serviceHousekeeper),合同编号(contractdocNum),合同金额(adjustRefundMoney),支付金额(paidAmount),差额(difference),State,创建时间(createTime),服务商(orgName),签约时间(signedDate),Doorsill,款项来源类型(tradeIn)
1157189284826987722,18886,GD198209303735,1,张三,YHWX-BJ-SDHY-8101107692,4079,2188,0.0,1,1978-08-21T18:14:24,Smith Inc,2017-01-06T09:54:34,78326,1
4387505100226943755,35534,GD201206242848,3,张三,YHWX-BJ-SDHY-7690544787,8588,1359,0.0,2,2011-04-25T09:58:09,Rhodes-Andrews,2016-11-03T12:10:58,53812,1
2886809417891730254,29450,GD200903057566,3,王五,YHWX-BJ-SDHY-3905383924,5609,6612,0.0,1,1984-03-19T04:10:49,Dominguez-Jones,2015-12-08T01:06:48,71068,1
4286415725681781379,95599,GD199105234357,1,张三,YHWX-BJ-SDHY-6110607076,9578,8850,0.0,2,2016-08-22T14:03:18,Gallegos PLC,2006-06-28T12:57:42,61106,3
1704470555085610330,39820,GD198910244802,1,李四,YHWX-BJ-SDHY-7816671342,5340,8516,0.0,2,2019-12-14T20:29:32,Fox-Fletcher,1990-09-17T22:02:00,53136,3
2597524254604062518,50087,GD202210017015,1,张三,YHWX-BJ-SDHY-4376059553,554,286,0.0,2,1974-03-28T04:58:49,Ashley-Roach,2000-06-30T20:46:48,90206,3
9315356047637024721,38881,GD201405203311,1,李四,YHWX-BJ-SDHY-5534992431,9461,3842,0.0,1,1971-06-08T20:40:44,Steele-Thomas,2018-11-30T19:48:18,12267,2
1796875500912560639,11005,GD197309118515,2,李四,YHWX-BJ-SDHY-2925196631,1899,4726,0.0,1,2013-11-15T05:01:14,"Sanchez, Pollard and Baker",1983-05-29T09:03:17,53398,3
7391093416265267049,71079,GD198308033046,1,王五,YHWX-BJ-SDHY-2761757875,2619,7368,0.0,2,1971-10-15T01:09:56,Estrada Group,2004-05-18T01:47:25,78018,2
8821606945449551856,88232,GD199405292232,2,张三,YHWX-BJ-SDHY-8982459894,9684,7131,0.0,1,1988-04-11T07:44:23,"Williams, Wolf and Orr",1973-01-16T22:27:45,25454,2
3087702823789324069,43426,GD197510025969,1,李四,YHWX-BJ-SDHY-3472829598,6181,1753,0.0,1,1999-01-25T00:48:13,Hodge and Sons,2006-12-02T01:24:45,95965,3
6444892258906420904,86780,GD200209077966,3,王五,YHWX-BJ-SDHY-9035455304,6812,8517,0.0,1,2014-09-24T03:21:59,"Roth, Spencer and Brown",2017-06-12T00:41:57,63168,3
3591629290462878449,65628,GD199203196427,2,王五,YHWX-BJ-SDHY-5237021871,8478,8042,0.0,1,1973-05-23T20:18:29,Decker and Sons,1997-10-01T06:08:44,53839,3
4849848294692495641,55974,GD201404199912,1,张三,YHWX-BJ-SDHY-4467385582,7060,5306,0.0,1,2004-12-05T11:18:50,"Delgado, Baxter and Scott",2021-03-31T12:21:47,43028,3
8709154599635328651,91145,GD200211135875,1,张三,YHWX-BJ-SDHY-4782896565,6640,7029,0.0,2,2011-11-24T21:31:35,Johnson-Everett,2001-10-19T08:48:38,17494,2
4957274883607303355,25388,GD198507045988,3,李四,YHWX-BJ-SDHY-5865786495,6741,6009,0.0,2,1983-05-05T13:39:27,Fox-Holt,2012-11-08T00:00:12,12003,3
4331325168601590892,15606,GD201010132430,1,李四,YHWX-BJ-SDHY-4566904501,3252,3515,0.0,1,1974-05-20T07:22:39,"Johnson, Thompson and Benitez",1985-02-18T01:13:02,70871,1
2514534563419077139,42476,GD197304038942,1,王五,YHWX-BJ-SDHY-6614863643,614,1821,0.0,1,1985-02-18T17:55:17,Yates-Townsend,2020-08-29T05:47:11,62493,3
2867779164940056561,32689,GD200006101300,2,张三,YHWX-BJ-SDHY-9448280918,7724,4457,0.0,1,2012-07-13T07:38:10,"Beltran, Griffin and Turner",2013-01-09T06:04:24,48153,1
6775396956619143506,14762,GD201609086049,1,王五,YHWX-BJ-SDHY-7676712061,3850,7030,0.0,1,1986-07-21T06:43:32,"Burns, Wyatt and Steele",1997-07-14T12:38:12,56037,3
8288452650464046840,50837,GD198303258230,2,李四,YHWX-BJ-SDHY-2191411799,5644,4331,0.0,2,1975-04-28T10:00:15,"Martinez, Johnson and Frye",2005-01-18T09:33:02,67082,1
3125599841489086017,10612,GD200004285848,2,张三,YHWX-BJ-SDHY-4861966421,6594,4112,0.0,1,2018-02-08T15:17:49,Rose Inc,2019-11-07T23:47:17,45940,3
6044464571774751516,70236,GD200802047998,2,张三,YHWX-BJ-SDHY-2187457629,6242,9902,0.0,2,2005-11-08T00:45:42,Brown Inc,1995-09-01T12:43:43,84947,2
6105056056742874273,14859,GD200308135896,2,王五,YHWX-BJ-SDHY-9396754034,6616,9990,0.0,2,1996-06-11T20:19:07,Alexander-Harris,2016-03-15T00:01:58,63395,1
9921591852279821943,47651,GD197907108685,1,李四,YHWX-BJ-SDHY-6876434809,9832,8107,0.0,2,2023-10-01T19:23:10,Howard-Green,1986-02-12T19:30:42,18569,3
3491325832123177125,11054,GD200210302600,1,李四,YHWX-BJ-SDHY-8405972038,2390,3836,0.0,2,2013-10-07T10:18:44,Wolfe Inc,1975-11-28T07:43:56,81818,3
5805545539246982629,68031,GD198403208525,1,王五,YHWX-BJ-SDHY-9642760211,211,3650,0.0,2,2016-08-15T22:12:03,Collins-Hubbard,1975-08-11T23:47:34,29559,3
1875192420877340449,97770,GD197801224552,1,王五,YHWX-BJ-SDHY-4756867120,9732,2114,0.0,1,1992-01-02T06:39:20,Scott-Dunlap,1973-01-07T19:31:34,95141,2
5573016119313677298,56991,GD197001247251,2,张三,YHWX-BJ-SDHY-4140278323,2818,9181,0.0,1,2012-05-09T01:14:17,Parker-Bell,1986-08-21T03:49:47,88272,2
2790549118052868316,93876,GD197005175400,1,王五,YHWX-BJ-SDHY-5610552518,9788,5628,0.0,1,1974-08-16T16:44:20,"Taylor, Diaz and Williams",2023-06-06T18:52:29,10974,1
2223788244485282212,11248,GD199005136343,1,王五,YHWX-BJ-SDHY-3809845804,213,4209,0.0,2,2018-03-31T00:20:10,Roberts-Lopez,1983-04-26T04:14:47,47393,2
3860847716415661587,68605,GD199504076115,2,张三,YHWX-BJ-SDHY-9407638764,3007,4585,0.0,2,2016-08-25T20:03:39,"Miller, Fischer and Odom",1989-12-26T00:54:10,88689,1
8266668558578266026,94883,GD197801185687,1,张三,YHWX-BJ-SDHY-6888606123,2188,5459,0.0,2,2006-02-07T05:17:31,"Smith, Garner and Campbell",1974-12-29T17:21:22,79978,2
5040457539854717275,95452,GD198502065998,2,张三,YHWX-BJ-SDHY-2037820821,4225,8127,0.0,1,2004-10-25T23:50:24,Lambert-Salazar,1976-09-29T10:15:14,67776,1
7168469449812616600,53189,GD202310294785,2,李四,YHWX-BJ-SDHY-8184833328,3354,4666,0.0,1,1971-03-13T22:50:17,Kent-Martin,1990-08-31T10:53:59,21171,1
6971844458677716020,82049,GD200701018172,1,张三,YHWX-BJ-SDHY-5256029651,1131,8706,0.0,1,1989-05-16T01:56:44,"Buchanan, Clark and Rice",1973-02-24T02:46:47,31575,3
4529481860399445220,68927,GD201711288055,3,王五,YHWX-BJ-SDHY-6575142840,7202,5316,0.0,2,1975-06-09T14:02:03,Miller Ltd,2013-09-05T00:28:21,52524,3
3913998819926843568,49259,GD201811224822,2,李四,YHWX-BJ-SDHY-5430835379,8444,1935,0.0,2,1997-02-03T09:19:25,Chang LLC,2014-06-25T21:56:24,53532,2
7123538311749789864,69794,GD201801113209,3,王五,YHWX-BJ-SDHY-5083051120,9959,4191,0.0,1,2012-09-08T00:18:44,Hoffman PLC,2014-06-27T11:21:55,80488,3
8478341104454248329,52413,GD198408069272,2,张三,YHWX-BJ-SDHY-2368513759,4923,3318,0.0,1,2017-07-19T09:36:37,"Lee, Gomez and Cooper",1986-08-31T22:48:14,58783,2
4522800885079261239,39446,GD198701013462,1,王五,YHWX-BJ-SDHY-5943458201,5257,8484,0.0,2,1977-04-12T01:25:53,"Caldwell, Patton and Hudson",1975-09-13T05:17:34,94675,2
8449215631864481818,56630,GD199602091720,2,王五,YHWX-BJ-SDHY-6257260393,7342,900,0.0,1,1974-10-10T11:40:27,Wolfe-Hansen,1982-11-09T19:13:36,11254,3
8118505541276635519,26775,GD198104142752,3,王五,YHWX-BJ-SDHY-4552257637,397,4023,0.0,2,2010-01-28T08:35:27,Jimenez-Norman,2002-12-09T18:44:50,60178,3
9258958995660030448,35936,GD199808294144,3,张三,YHWX-BJ-SDHY-4372158658,8318,372,0.0,2,1995-07-07T00:05:44,"Phillips, Evans and Johnson",1979-03-15T09:28:26,32623,3
4412300840835979694,26168,GD198510118649,2,张三,YHWX-BJ-SDHY-7126330542,9691,4736,0.0,2,1979-01-18T22:17:47,"Ellis, Norman and Wilson",1981-09-09T13:34:06,28032,2
3967720605914691780,60918,GD197002105267,1,张三,YHWX-BJ-SDHY-2844305114,2837,6221,0.0,1,1981-09-12T07:01:23,"Robbins, Allen and Fernandez",1976-11-30T20:27:17,15129,2
8334670099688216666,32145,GD200001021893,3,李四,YHWX-BJ-SDHY-4183171661,7564,3390,0.0,1,1974-10-17T10:49:48,"Chambers, Hanson and Griffin",2019-02-04T15:46:52,98592,3
8358483740891870491,27182,GD202111108783,3,王五,YHWX-BJ-SDHY-5351838200,7950,9057,0.0,1,2021-01-08T13:54:25,Roberts-Carpenter,1987-04-16T00:25:44,32635,2
9849954611068926409,72082,GD197105094314,2,王五,YHWX-BJ-SDHY-4640405252,2386,8175,0.0,1,2000-11-08T05:55:00,Johnson-Hernandez,2013-02-18T00:26:50,32354,3
4900161555640841914,53056,GD199401243922,1,张三,YHWX-BJ-SDHY-2595067866,6973,5515,0.0,2,1998-05-14T15:09:09,Jones-Medina,2008-12-14T11:03:26,16670,3
8392747682040409816,59316,GD198807161869,1,王五,YHWX-BJ-SDHY-7964469591,441,5391,0.0,1,2015-04-24T23:35:57,Elliott and Sons,1971-01-25T06:05:36,10151,1
2178318427639923940,86032,GD201001066811,1,李四,YHWX-BJ-SDHY-2009011135,9908,4910,0.0,1,2012-01-09T00:19:23,Diaz Inc,2001-09-08T02:30:17,31537,2
7293342481849046913,20240,GD201206027165,1,李四,YHWX-BJ-SDHY-3242377038,7153,2243,0.0,2,1989-09-20T18:05:26,"Yang, Jones and Navarro",2019-12-20T14:28:23,18182,1
5810337454202487618,57748,GD197905149070,3,王五,YHWX-BJ-SDHY-2852149565,73,1544,0.0,1,2003-07-01T11:24:10,"Green, Holden and Estrada",2003-04-18T13:56:10,45274,2
1721217430113457398,10758,GD201111204225,2,李四,YHWX-BJ-SDHY-2756653227,8547,176,0.0,2,2010-07-22T01:03:30,Webb Ltd,2016-05-03T21:41:20,47338,1
